candidate,text,tweet_id
Trump,https://t.co/gF4VmXWFoK,1311122260904652800
Biden,"Donald Trump talks a lot about the art of the deal. But under his watch, China has perfected the art of the steal. https://t.co/OSTsHHTtBQ",1311125864193708032
Trump,https://t.co/DzCU5knvnM,1311115749008654343
Biden,"I paid my taxes.

These folks paid their taxes.

So why didn’t President Trump pay his? https://t.co/gcRWGnWF57",1311706439795175424
Trump,Why would I allow the Debate Commission to change the rules for the second and third Debates when I easily won last time?,1311731462589292544
Trump,https://t.co/h4Ft5zhcmL,1310774541459902464
Trump,"@BarackObama who wants to raise all our taxes, only pays 20.5% on $790k salary. http://t.co/bqF26mQf Do as I say not as I do.",190866856624668672
Trump,THANK YOU! #MAGA https://t.co/nGfbRmfmG7,1311745016780460033
Biden,"Jill and I want to wish a very happy birthday to President Carter –– a patriot, a humanitarian, and a friend. Thank… https://t.co/uU4AyEr7kN",1311738904068927494
Biden,"This election is Scranton vs. Park Avenue — and with your help, Scranton will win. https://t.co/WxHNrVKIdb",1311095916820967424
Trump,Exclusive Excerpt--Lewandowski &amp; Bossie: ‘Trump: America First: The President Succeeds Against All Odds’… https://t.co/xiR75pegOd,1311775992847818754
Trump,Thank you!,1311779066668703744
Biden,"During Filipino American History Month, we celebrate the community's immense contributions to our country — from ea… https://t.co/lhE39d89WI",1311775395679809536
Trump,Will be interviewed tonight by @seanhannity at 9:00. Enjoy!@FoxNews,1311785763579797506
Trump,I’m used to it!,1311793693763014656
Biden,"On Native Women's Equal Pay Day, we recognize the hard truth that Native women earn just $0.57 for every dollar a w… https://t.co/ba5p9dcj97",1311796785153802241
Trump,https://t.co/KIFQOAzeUw,1311806882210865152
Biden,You determine the outcome of this election. Vote. Vote. Vote. https://t.co/Ros3XuU16k,1311135678974111747
Biden,"Donald Trump claimed he would be ""the greatest jobs president God ever created.""

But the fact is he's the worst jo… https://t.co/JxqUnyJVPO",1306975013355089922
Trump,https://t.co/TrOy9toc8x,1311342598330765315
Trump,https://t.co/RF65Ne3ZyL,1311119669932163072
Trump,https://t.co/glygIcS54J,1311342565866831878
Trump,DIRTY COP JAMES COMEY GOT CAUGHT!,1255832117583495169
Trump,https://t.co/LnBpKJE9yi,1311121881295020032
Trump,I did more in 47 months than Joe Biden did in 47 years! https://t.co/CrRSrJEEfl,1308579452100599808
Trump,https://t.co/ZHqjSQ58NX,1309594346912587777
Trump,"If we listened to Joe Biden on coronavirus, millions of people would have died! https://t.co/zFRTHPIWwW",1311117425597792256
Trump,https://t.co/7pyBveEvkS https://t.co/DPbILlNXFY,1311112892314316803
Trump,https://t.co/EMFDxIuyJs,1311126533956747266
Trump,https://t.co/X6ra8feSo7,1298446371591196674
Trump,https://t.co/aGwvni4Ifu,1298784642586337282
Trump,https://t.co/XVQNptQZoQ,1299150878788722690
Trump,https://t.co/kZBd1IWL8O,1299153120891744256
Trump,https://t.co/aPQiHgn5hq,1299153061995319299
Trump,https://t.co/BX4OJWALKg,1299153035868938242
